Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,622416,b'Federal',54.040188,-160.49251,-10,-10,93273.016,-,s,deg,s,deg,s,W/m,s,m,-,2182,v1.0.0
Year,Month,Day,Hour,Minute,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width
2010,1,9,18,0,0.7717429995536804,5.817200183868408,187.5,6.584199905395508,7.7428998947143555,30802,9.101699829101562,2.8492300510406494,0.3543199896812439
2010,1,9,21,0,0.7561249732971191,5.773399829864502,192.5,6.5447001457214355,7.754000186920166,32562,9.101699829101562,2.9274299144744873,0.3675999939441681
2010,1,10,0,0,0.7397410273551941,5.845200061798096,192.5,6.637599945068359,7.879199981689453,33774,9.101699829101562,2.9575300216674805,0.3684299886226654
2010,1,10,3,0,0.6987820267677307,5.742599964141846,202.5,6.516499996185303,7.762199878692627,36511,9.101699829101562,3.0983099937438965,0.3790000081062317
2010,1,10,6,0,0.6777859926223755,5.953700065612793,202.5,6.783199787139893,8.156299591064453,34815,12.114999771118164,2.951230049133301,0.3997499942779541
2010,1,10,9,0,0.5849109888076782,5.9019999504089355,202.5,6.829899787902832,8.63539981842041,39942,12.114999771118164,3.072200059890747,0.48495998978614807
2010,1,10,12,0,0.4348610043525696,6.079800128936768,207.5,7.1774001121521,9.533499717712402,57100,17.73889923095703,3.4957098960876465,0.5269399881362915
2010,1,10,15,0,0.5103700160980225,6.709700107574463,47.5,7.8491997718811035,10.22760009765625,91045,17.73889923095703,4.260859966278076,0.4980500042438507
2010,1,10,18,0,0.5410739779472351,7.0142998695373535,47.5,8.23740005493164,10.617600440979004,118527,17.73889923095703,4.771259784698486,0.46814000606536865
2010,1,10,21,0,0.5120859742164612,7.265600204467773,42.5,8.457599639892578,10.625,133998,16.125999450683594,5.071119785308838,0.43755999207496643
2010,1,11,0,0,0.46601900458335876,7.509699821472168,42.5,8.68690013885498,10.673800468444824,135624,16.125999450683594,5.089960098266602,0.40487000346183777
2010,1,11,3,0,0.4680289924144745,7.663700103759766,212.5,8.808099746704102,10.622300148010254,137746,12.114999771118164,5.141960144042969,0.3775100111961365
2010,1,11,6,0,0.535273015499115,7.78000020980835,207.5,8.89210033416748,10.574700355529785,137537,12.114999771118164,5.149569988250732,0.3566400110721588
2010,1,11,9,0,0.6052380204200745,7.804699897766113,207.5,8.920999526977539,10.531100273132324,138537,12.114999771118164,5.178979873657227,0.34077000617980957
2010,1,11,12,0,0.6426709890365601,7.919099807739258,202.5,9.023200035095215,10.551899909973145,126313,12.114999771118164,4.940279960632324,0.3246000111103058
2010,1,11,15,0,0.6362209916114807,8.089699745178223,202.5,9.181699752807617,10.60159969329834,101285,12.114999771118164,4.413459777832031,0.3063499927520752
2010,1,11,18,0,0.6247659921646118,8.213600158691406,197.5,9.252400398254395,10.562100410461426,81572,12.114999771118164,3.9680800437927246,0.292930006980896
2010,1,11,21,0,0.6106520295143127,8.488300323486328,197.5,9.377699851989746,10.525300025939941,66766,11.013500213623047,3.5960400104522705,0.2779799997806549
2010,1,12,0,0,0.6034669876098633,8.782299995422363,192.5,9.526900291442871,10.517200469970703,56504,11.013500213623047,3.309340000152588,0.2620300054550171
2010,1,12,3,0,0.6012979745864868,8.965999603271484,192.5,9.612899780273438,10.494500160217285,49210,11.013500213623047,3.091639995574951,0.24961000680923462
2010,1,12,6,0,0.5995510220527649,8.584400177001953,187.5,9.416199684143066,10.377599716186523,43606,11.013500213623047,2.9268100261688232,0.25064998865127563
2010,1,12,9,0,0.5986689925193787,8.136899948120117,187.5,9.112299919128418,10.197500228881836,39489,11.013500213623047,2.8098599910736084,0.26023000478744507
2010,1,12,12,0,0.6005200147628784,7.4816999435424805,187.5,8.618300437927246,9.92240047454834,37026,11.013500213623047,2.758579969406128,0.2832599878311157
2010,1,12,15,0,0.611981987953186,7.489799976348877,182.5,8.585700035095215,9.8681001663208,35033,11.013500213623047,2.690619945526123,0.2844499945640564
2010,1,12,18,0,0.6256459951400757,7.251699924468994,182.5,8.405599594116211,9.79520034790039,33315,11.013500213623047,2.633699893951416,0.2965199947357178
2010,1,12,21,0,0.6380090117454529,7.13700008392334,182.5,8.314200401306152,9.765299797058105,31411,11.013500213623047,2.561310052871704,0.3050999939441681
2010,1,13,0,0,0.6476969718933105,7.035900115966797,177.5,8.220800399780273,9.716500282287598,29209,11.013500213623047,2.4761500358581543,0.31286999583244324
2010,1,13,3,0,0.6597989797592163,7.000100135803223,177.5,8.169599533081055,9.663200378417969,26815,11.013500213623047,2.3790500164031982,0.3160000145435333
2010,1,13,6,0,0.667527973651886,6.563700199127197,177.5,7.753399848937988,9.380800247192383,24896,11.013500213623047,2.3268299102783203,0.3388800024986267
2010,1,13,9,0,0.6699339747428894,6.3520002365112305,177.5,7.4695000648498535,9.095199584960938,23420,11.013500213623047,2.2920498847961426,0.3544600009918213
2010,1,13,12,0,0.6673160195350647,6.119100093841553,177.5,7.192500114440918,8.830400466918945,21839,11.013500213623047,2.2464399337768555,0.3684700131416321
2010,1,13,15,0,0.6634100079536438,5.930500030517578,177.5,6.94980001449585,8.563799858093262,20505,11.013500213623047,2.2104499340057373,0.3784399926662445
2010,1,13,18,0,0.661994993686676,5.782899856567383,182.5,6.720600128173828,8.249899864196777,20330,10.01200008392334,2.2425899505615234,0.383870005607605
2010,1,13,21,0,0.6707379817962646,5.828999996185303,182.5,6.7600998878479,8.21679973602295,19412,10.01200008392334,2.1958000659942627,0.37288999557495117
2010,1,14,0,0,0.6898630261421204,6.519100189208984,182.5,7.32289981842041,8.528599739074707,17862,10.01200008392334,2.06673002243042,0.33441999554634094
2010,1,14,3,0,0.7156010270118713,7.106100082397461,182.5,7.765999794006348,8.772299766540527,17262,10.01200008392334,2.0029399394989014,0.30469000339508057
2010,1,14,6,0,0.7284470200538635,7.400000095367432,187.5,7.989999771118164,8.897000312805176,16784,10.01200008392334,1.961050033569336,0.289359986782074
2010,1,14,9,0,0.7190750241279602,7.515200138092041,187.5,8.0733003616333,8.94379997253418,15758,10.01200008392334,1.8951200246810913,0.2853800058364868
2010,1,14,12,0,0.6934319734573364,7.535799980163574,187.5,8.099499702453613,8.986499786376953,14422,9.101699829101562,1.8086800575256348,0.28957998752593994
2010,1,14,15,0,0.6655110120773315,7.5177998542785645,187.5,8.100099563598633,9.027600288391113,13175,9.101699829101562,1.724810004234314,0.2975099980831146
2010,1,14,18,0,0.6476050019264221,7.4730000495910645,187.5,8.079400062561035,9.039999961853027,12269,9.101699829101562,1.663349986076355,0.3030099868774414
2010,1,14,21,0,0.632174015045166,5.669899940490723,182.5,6.796999931335449,8.462800025939941,11385,9.101699829101562,1.6572999954223633,0.3741399943828583
2010,1,15,0,0,0.5818840265274048,4.803999900817871,172.5,5.616000175476074,7.133200168609619,12343,9.101699829101562,1.8809000253677368,0.44595998525619507
2010,1,15,3,0,0.6443600058555603,4.730999946594238,152.5,5.354499816894531,6.450300216674805,15777,7.5218000411987305,2.236269950866699,0.41523998975753784
2010,1,15,6,0,0.7153090238571167,5.101500034332275,157.5,5.670899868011475,6.561500072479248,22992,6.837800025939941,2.675189971923828,0.36149001121520996
2010,1,15,9,0,0.7044939994812012,5.524199962615967,167.5,6.156899929046631,7.11460018157959,39411,6.837800025939941,3.362600088119507,0.35284000635147095
2010,1,15,12,0,0.706974983215332,6.1894001960754395,162.5,6.877999782562256,7.865900039672852,67090,8.274100303649902,4.171599864959717,0.32804998755455017
2010,1,15,15,0,0.5749229788780212,7.110300064086914,157.5,7.818999767303467,8.940600395202637,72132,8.274100303649902,4.058619976043701,0.3560299873352051
2010,1,15,18,0,0.6139150261878967,8.058500289916992,47.5,9.039899826049805,10.91670036315918,85992,12.114999771118164,4.012320041656494,0.45291998982429504
2010,1,15,21,0,0.7923309803009033,9.656800270080566,42.5,10.959099769592285,13.52869987487793,136639,23.611900329589844,4.54095983505249,0.4348599910736084
2010,1,16,0,0,0.8684639930725098,11.099599838256836,37.5,12.56309986114502,15.095199584960938,202681,19.513200759887695,5.233349800109863,0.3736500144004822
2010,1,16,3,0,0.9032840132713318,12.298299789428711,32.5,13.676600456237793,15.903900146484375,250845,19.513200759887695,5.671030044555664,0.32785001397132874
2010,1,16,6,0,0.9215189814567566,13.112799644470215,32.5,14.386199951171875,16.343799591064453,275835,19.513200759887695,5.865769863128662,0.2971000075340271
2010,1,16,9,0,0.930076003074646,13.587300300598145,32.5,14.753600120544434,16.489200592041016,283353,19.513200759887695,5.918630123138428,0.27592000365257263
2010,1,16,12,0,0.9336339831352234,13.776200294494629,27.5,14.839500427246094,16.405500411987305,275903,19.513200759887695,5.855030059814453,0.26252999901771545
2010,1,16,15,0,0.9338930249214172,13.770000457763672,27.5,14.747599601745605,16.193300247192383,259439,17.73889923095703,5.714660167694092,0.25473999977111816
2010,1,16,18,0,0.9322119951248169,13.645700454711914,27.5,14.556599617004395,15.916399955749512,239872,17.73889923095703,5.542510032653809,0.25023001432418823
2010,1,16,21,0,0.9294329881668091,13.44729995727539,32.5,14.30780029296875,15.60509967803955,219202,17.73889923095703,5.350880146026611,0.24782000482082367
2010,1,17,0,0,0.9258099794387817,13.207200050354004,32.5,14.030500411987305,15.287500381469727,198456,17.73889923095703,5.143980026245117,0.24775999784469604
2010,1,17,3,0,0.9221370220184326,12.99429988861084,32.5,13.802499771118164,15.046099662780762,182415,17.73889923095703,4.9711198806762695,0.24987000226974487
2010,1,17,6,0,0.920648992061615,12.911600112915039,32.5,13.704400062561035,14.932600021362305,174833,17.73889923095703,4.885169982910156,0.24998000264167786
2010,1,17,9,0,0.9212210178375244,12.873499870300293,37.5,13.647199630737305,14.827199935913086,170566,17.73889923095703,4.842289924621582,0.24533000588417053
2010,1,17,12,0,0.920973002910614,12.729299545288086,37.5,13.49839973449707,14.616999626159668,162485,16.125999450683594,4.760059833526611,0.23965999484062195
2010,1,17,15,0,0.9154090285301208,11.734399795532227,37.5,12.986100196838379,14.259699821472168,149204,16.125999450683594,4.61830997467041,0.2428400069475174
2010,1,17,18,0,0.9024389982223511,10.352999687194824,37.5,12.05519962310791,13.718500137329102,133971,16.125999450683594,4.461860179901123,0.26315000653266907
2010,1,17,21,0,0.8883860111236572,9.920700073242188,37.5,11.595800399780273,13.30210018157959,119272,16.125999450683594,4.275400161743164,0.27055999636650085
2010,1,18,0,0,0.8763769865036011,9.83549976348877,37.5,11.422100067138672,13.046500205993652,107280,14.659700393676758,4.094299793243408,0.26945000886917114
2010,1,18,3,0,0.8641129732131958,9.699299812316895,37.5,11.25469970703125,12.858400344848633,99449,14.659700393676758,3.9707999229431152,0.272460013628006
2010,1,18,6,0,0.8438670039176941,8.463399887084961,37.5,10.284099578857422,12.376700401306152,95000,14.659700393676758,3.9560799598693848,0.30979999899864197
2010,1,18,9,0,0.8029680252075195,7.553800106048584,37.5,9.204700469970703,11.564800262451172,92084,14.659700393676758,4.029520034790039,0.35936999320983887
2010,1,18,12,0,0.737733006477356,6.933599948883057,37.5,8.326700210571289,10.61340045928955,89795,14.659700393676758,4.153960227966309,0.3984000086784363
2010,1,18,15,0,0.707315981388092,6.836400032043457,32.5,8.159000396728516,10.298700332641602,81210,14.659700393676758,4.01039981842041,0.39427998661994934
