Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,97045,b'Federal',18.333422,-155.75226,0,-10,64277.215,-,s,deg,s,deg,s,W/m,s,m,-,4970.0254,v1.0.0
Year,Month,Day,Hour,Minute,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Wave Power,Peak Period,Significant Wave Height,Spectral Width
2010,1,1,0,0,0.5332030057907104,10.148300170898438,326.25,9.030099868774414,24261,11.83810043334961,2.207590103149414,0.3071500062942505
2010,1,1,3,0,0.54379802942276,10.2701997756958,326.25,9.259599685668945,24873,11.83810043334961,2.221820116043091,0.2981399893760681
2010,1,1,6,0,0.5393040180206299,10.293000221252441,326.25,9.304499626159668,24827,11.83810043334961,2.2173399925231934,0.2943199872970581
2010,1,1,9,0,0.5301929712295532,10.286800384521484,326.25,9.337699890136719,24288,11.83810043334961,2.1937599182128906,0.2906799912452698
2010,1,1,12,0,0.5111709833145142,10.211999893188477,326.25,9.2947998046875,23584,9.807000160217285,2.1696200370788574,0.28812000155448914
2010,1,1,15,0,0.48235100507736206,10.074999809265137,326.25,9.200799942016602,22978,9.807000160217285,2.156090021133423,0.28380998969078064
2010,1,1,18,0,0.4650369882583618,9.954099655151367,326.25,9.110600471496582,22054,9.807000160217285,2.125109910964966,0.2795499861240387
2010,1,1,21,0,0.46939998865127563,9.857799530029297,153.75,9.03439998626709,20718,9.807000160217285,2.0697500705718994,0.2761499881744385
2010,1,2,0,0,0.4846149981021881,9.741499900817871,153.75,8.948699951171875,19235,9.807000160217285,2.006190061569214,0.27184000611305237
2010,1,2,3,0,0.5101230144500732,9.606599807739258,153.75,8.853500366210938,17841,9.807000160217285,1.9456499814987183,0.2667999863624573
2010,1,2,6,0,0.5344290137290955,9.482999801635742,153.75,8.763699531555176,16599,9.807000160217285,1.8888499736785889,0.26287999749183655
2010,1,2,9,0,0.5527899861335754,9.381999969482422,153.75,8.684100151062012,15496,9.807000160217285,1.8348499536514282,0.2612699866294861
