Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,511849,b'Hawaii',18.909367,-155.68097,-10,-10,100.95902,-,s,deg,s,deg,s,W/m,s,m,-,6.7046,v1.0.0
Year,Month,Day,Hour,Minute,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width
2010,7,3,12,0,0.7282670140266418,9.788900375366211,108.75,6.9390997886657715,13518,17.249300003051758,1.8761500120162964,0.5231999754905701
2010,7,3,15,0,0.7282670140266418,8.877900123596191,123.75,6.376100063323975,15755,15.699999809265137,2.0691299438476562,0.5435400009155273
2010,7,3,18,0,0.729498028755188,8.847900390625,123.75,6.399099826812744,15546,15.699999809265137,2.052419900894165,0.5329399704933167
2010,7,3,21,0,0.7275050282478333,8.80739974975586,123.75,6.38700008392334,14371,15.699999809265137,1.9729399681091309,0.5259799957275391
2010,7,4,0,0,0.7337650060653687,8.758299827575684,123.75,6.403800010681152,12795,15.699999809265137,1.8585599660873413,0.5125899910926819
2010,7,4,3,0,0.7449129819869995,8.70479965209961,123.75,6.452600002288818,11529,15.699999809265137,1.759950041770935,0.49459999799728394
2010,7,4,6,0,0.7545790076255798,8.930399894714355,123.75,6.846399784088135,10431,15.699999809265137,1.6527199745178223,0.46173998713493347
2010,7,4,9,0,0.7562360167503357,8.81029987335205,123.75,6.747099876403809,10301,14.289799690246582,1.6475499868392944,0.4605399966239929
2010,7,4,12,0,0.7539550065994263,8.316200256347656,131.25,6.2778000831604,10920,14.289799690246582,1.7272000312805176,0.4839000105857849
2010,7,4,15,0,0.7654690146446228,8.090999603271484,131.25,6.127099990844727,11004,14.289799690246582,1.7450499534606934,0.4876500070095062
2010,7,4,18,0,0.7723450064659119,8.0423002243042,131.25,6.125999927520752,10539,14.289799690246582,1.7076200246810913,0.48274001479148865
2010,7,4,21,0,0.7774369716644287,8.061400413513184,131.25,6.184999942779541,9950,14.289799690246582,1.6542099714279175,0.4731000065803528
2010,7,5,0,0,0.7759929895401001,8.271499633789062,131.25,6.402599811553955,8857,9.807000160217285,1.5466300249099731,0.4581199884414673
2010,7,5,3,0,0.7792819738388062,8.094799995422363,131.25,6.252699851989746,8872,9.807000160217285,1.5574899911880493,0.4625000059604645
2010,7,5,6,0,0.784466028213501,8.618599891662598,123.75,6.815800189971924,7799,9.807000160217285,1.4297699928283691,0.4300000071525574
2010,7,5,9,0,0.7837629914283752,8.434000015258789,123.75,6.6331000328063965,8125,13.00629997253418,1.4690200090408325,0.4390699863433838
2010,7,5,12,0,0.7784249782562256,8.127799987792969,131.25,6.221700191497803,8372,13.00629997253418,1.514870047569275,0.46577998995780945
2010,7,5,15,0,0.8005949854850769,7.268700122833252,138.75,5.63640022277832,10851,13.00629997253418,1.777809977531433,0.48594000935554504
2010,7,5,18,0,0.8139200210571289,7.36359977722168,138.75,5.754700183868408,10969,7.394700050354004,1.7739700078964233,0.4676100015640259
2010,7,5,21,0,0.8108710050582886,7.396500110626221,138.75,5.777200222015381,10412,7.394700050354004,1.7258399724960327,0.46581000089645386
2010,7,6,0,0,0.8060280084609985,7.334400177001953,138.75,5.692999839782715,9812,13.00629997253418,1.6839100122451782,0.4762600064277649
2010,7,6,3,0,0.8038259744644165,7.5605998039245605,138.75,5.842899799346924,9014,11.83810043334961,1.5996299982070923,0.4703100025653839
2010,7,6,6,0,0.805679976940155,7.651100158691406,138.75,5.904799938201904,8752,11.83810043334961,1.5711300373077393,0.46963000297546387
2010,7,6,9,0,0.8110499978065491,7.556300163269043,138.75,5.88700008392334,9118,11.83810043334961,1.6074999570846558,0.47036001086235046
2010,7,6,12,0,0.8096140027046204,7.770599842071533,131.25,5.993800163269043,8307,11.83810043334961,1.5238699913024902,0.4683000147342682
2010,7,6,15,0,0.8154780268669128,7.755199909210205,131.25,5.954899787902832,8099,11.83810043334961,1.5079699754714966,0.4727100133895874
2010,7,6,18,0,0.8195919990539551,7.785699844360352,131.25,6.084499835968018,8403,11.83810043334961,1.5277400016784668,0.4597199857234955
2010,7,6,21,0,0.8201680183410645,7.542600154876709,138.75,5.910399913787842,9544,11.83810043334961,1.6437400579452515,0.47429999709129333
2010,7,7,0,0,0.8121280074119568,7.589099884033203,138.75,5.875199794769287,9690,11.83810043334961,1.6584999561309814,0.49296998977661133
2010,7,7,3,0,0.8046020269393921,7.905200004577637,131.25,6.038300037384033,8660,11.83810043334961,1.5536600351333618,0.49625998735427856
2010,7,7,6,0,0.807889997959137,8.192700386047363,131.25,6.341300010681152,7942,11.83810043334961,1.469249963760376,0.4767000079154968
2010,7,7,9,0,0.8036590218544006,8.235699653625488,131.25,6.3480000495910645,7679,11.83810043334961,1.4442700147628784,0.47916001081466675
2010,7,7,12,0,0.7964890003204346,7.989299774169922,131.25,6.055600166320801,8630,11.83810043334961,1.551169991493225,0.5109900236129761
